Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
23,I am a developer by profession,Yes,27.0,14,,,Germany,European Euro,EUR,,,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, QA or test;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Very satisfied,I am not interested in new job opportunities,C#;C++,Bash/Shell/PowerShell;C#;C++,.NET Core,.NET,Confluence;Jira;Github,Confluence;Jira;Github,No,Neutral,Fairly important,Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Better work/life balance;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,No,Onboarding? What onboarding?,No,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,100 to 499 employees,Arduino;Linux;Raspberry Pi,Arduino;Raspberry Pi;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",,,Somewhat less welcome now than last year,40.0,8,3
24,I am a developer by profession,Yes,45.0,14,Yearly,91883.0,Germany,European Euro,EUR,Cassandra;PostgreSQL,PostgreSQL;SQLite,"Developer, back-end","Professional degree (JD, MD, etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;Go;Java;Julia;Kotlin;Python;SQL,Bash/Shell/PowerShell;Java;Kotlin;PHP;SQL,,,Confluence;Jira;Github;Gitlab;Microsoft Teams,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams,Not sure,Somewhat important,Very important,Having a bad day (or week or month) at work;Curious about other opportunities;Wanting to work with new technologies,,Every few months,No,Yes,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Linux-based,20 to 99 employees,AWS;Docker;Kubernetes;Linux;MacOS,Docker;Kubernetes;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",,,Just as welcome now as I felt last year,42.0,30,20
25,I am a developer by profession,No,,25,Monthly,,Portugal,European Euro,EUR,MariaDB;Oracle,Oracle,"Developer, back-end;Developer, full-stack;DevOps specialist;Engineer, data;System administrator","Associate degree (A.A., A.S., etc.)",Employed full-time,Hispanic or Latino/a/x,Man,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Opportunities for professional development",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Assembly;Bash/Shell/PowerShell;C,Bash/Shell/PowerShell;C,,,Jira;Github;Gitlab;Slack;Stack Overflow for Teams,Jira;Github;Gitlab,No,Extremely important,Critically important,Curious about other opportunities;Growth or leadership opportunities,,Once every few years,Yes,Yes,No,Often: 1-2 days per week or more,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow,Windows,100 to 499 employees,Docker;Linux,Docker;Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,40.0,23,18
26,I am a developer by profession,No,,12,Yearly,71093.0,Canada,Canadian dollar,CAD,,PostgreSQL,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Go;Rust,JavaScript;Python,,,,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Somewhat important,Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once every few years,Not sure,Yes,No,Never,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,100 to 499 employees,,Linux;MacOS;Slack Apps and Integrations,I have little or no influence,,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Easy,Too long,No,"Computer science, computer engineering, or software engineering",,Django;React.js,Just as welcome now as I felt last year,40.0,17,10
27,"I used to be a developer by profession, but no longer am",Yes,,12,,,United States,Canadian dollar,,PostgreSQL;SQLite,Elasticsearch;MySQL;PostgreSQL;SQLite,"Database administrator;Developer, full-stack;Engineering manager;Product manager;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,,,,Bash/Shell/PowerShell;C;C++;Perl;Python;SQL,Bash/Shell/PowerShell;C;C++;Java;Python;SQL,TensorFlow,,"Github;Gitlab;Google Suite (Docs, Meet, etc)","Jira;Github;Gitlab;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",,,Somewhat important,,,Once every few years,No,,Yes,,Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow,Linux-based,,AWS;Docker;Linux,AWS;Linux,,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Daily or almost daily,Easy,Appropriate in length,No,"A humanities discipline (such as literature, history, philosophy, etc.)",Flask,Flask,Just as welcome now as I felt last year,,20,20
28,I am a student who is learning to code,Yes,18.0,22,,,China,Canadian dollar,,,,,Some college/university study without earning a degree,Student,Black or of African descent,Man,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",,"I’m not actively looking, but I am open to new opportunities",,Python;R,,Pandas,,Github;Gitlab,,,,,,Every few months,No,,No,,Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Do other work and come back later,Windows,,,Linux;Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",Daily or almost daily,Daily or almost daily,Neither easy nor difficult,Too long,No,"A health science (such as nursing, pharmacy, radiology, etc.)",,,Just as welcome now as I felt last year,,2,
29,I am a student who is learning to code,Yes,18.0,15,,,Ukraine,Canadian dollar,,MySQL;Oracle;PostgreSQL;SQLite,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,,Man,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,C#;C++;HTML/CSS;Python,.NET;.NET Core;Node.js;Pandas;Unity 3D;Unreal Engine;Xamarin,.NET,Github;Gitlab;Trello,Github;Trello,,,,,,Every few months,,,No,,Start a free trial,Annoyed,Stack Overflow (public Q&A for anyone who codes),Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,,Android;Windows,Windows,,Straight / Heterosexual,Yes,"No, not at all",Less than once per month or monthly,A few times per month or weekly,Neither easy nor difficult,Appropriate in length,No,,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;Spring;Vue.js,,Not applicable - I did not use Stack Overflow last year,,Less than 1 year,
30,I am a developer by profession,Yes,,14,Yearly,38778.0,United Kingdom,Pound sterling,GBP,Firebase;MongoDB,Microsoft SQL Server;Redis;SQLite,"Data or business analyst;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",JavaScript;SQL;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Node.js,Node.js,Jira;Github;Slack,Confluence;Jira;Github,No,Extremely important,Somewhat important,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",,No,Onboarding? What onboarding?,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Windows,,Docker;Heroku,MacOS;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Daily or almost daily,Neither easy nor difficult,Too long,No,"Information systems, information technology, or system administration",Express;React.js;Vue.js,Express;Vue.js,A lot less welcome now than last year,37.0,4,2
31,I am a developer by profession,Yes,31.0,20,Weekly,,Russian Federation,Australian dollar,AUD,,,Academic researcher,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,,Slightly satisfied,I am not interested in new job opportunities,,C;C++,,TensorFlow;Torch/PyTorch;Unity 3D,,Github;Gitlab,Yes,Extremely important,,Having a bad day (or week or month) at work,,Once every few years,,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Ask developers I know/work with,,Stack Overflow (public Q&A for anyone who codes),,Linux-based,20 to 99 employees,,Linux,,,Yes,,A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,Yes,"Computer science, computer engineering, or software engineering",,,,,6,3
32,I am a developer by profession,Yes,31.0,12,Monthly,31764.0,Canada,Canadian dollar,CAD,MySQL;SQLite,MySQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C++;Python,C;C++;Java;Python;SQL;VBA,,,Jira;Github;Stack Overflow for Teams,Jira;Github,Not sure,,Somewhat important,Better compensation;Growth or leadership opportunities,"Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Yes,No,No,Rarely: 1-2 days per year or less,Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,10 to 19 employees,Docker;Linux;Windows,Linux;Raspberry Pi;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,37.0,19,10
33,I am a developer by profession,Yes,39.0,14,Monthly,63564.0,Belgium,European Euro,EUR,MongoDB,MongoDB;MySQL;PostgreSQL;SQLite,"Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,Node.js;React Native;Unity 3D,Node.js;React Native,"Github;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Yes,Neutral,Somewhat important,Just because;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,No,No,No,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow for Teams (private Q&A for organizations),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,500 to 999 employees,Docker;Google Cloud Platform;iOS;Kubernetes;MacOS,AWS;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;MacOS;Raspberry Pi,I have some influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;Gatsby;React.js;Ruby on Rails,Angular;Angular.js;Django;Express;React.js,Just as welcome now as I felt last year,40.0,20,14
